cod_centro,Frequency.1,codes,spanish description,english description,comment
125,1,245,CONSULTORIO AUXILIAR DE VALENCIA BENIFARAIG,,
128,1,271,CENTRO DE SALUD DE ALAQUAS,,
366,1,194,CENTRO SANITARIO INTEGRADO DE LLIRIA,,
522,1,31,CONSULTORIO AUXILIAR DE XODOS / CHODOS,,
313,1,254,CONSULTORIO AUXILIAR DE VILLARGORDO DEL CABRIEL,,
122,1,954,HOSPITAL FRANCESC DE BORJA DE GANDIA,,
816,1,1054,CENTRO TELEFONICA VALENCIA NORTE,,
508,1,256,CONSULTORIO AUXILIAR DE CORTES DE PALLAS,,
307,1,66,CONSULTORIO AUXILIAR DE CASTILLO DE VILLAMALEFA,,
153,1,298,CENTRO DE SALUD DE BENETUSSER,,
806,1,380,CONSULTORIO AUXILIAR DE BENIFAIRO DE LA VALLDIGNA,,
229,1,519,CONSULTORIO AUXILIAR DE VILLENA LA ENCINA,,
844,1,375,CONSULTORIO AUXILIAR DE ADOR,,
758,1,220,CONSULTORIO AUXILIAR DE HIGUERUELAS,,
323,1,778,CONSULTORIO AUXILIAR DE ALICANTE LA CAÑADA,,
278,1,768,CONSULTORIO AUXILIAR DE FORNA ADSUBIA,,
150,1,412,CONSULTORIO AUXILIAR DE MONTESA,,
16,1,2730,CONSULTORIO AUXILIAR DE ARGELITA,,
461,1,265,CONSULTORIO AUXILIAR DE SIETE AGUAS,,
42,1,2241,CONSULTORIO AUXILIAR DE BENASAU,,
205,1,52,CONSULTORIO AUXILIAR DE ALQUERIAS DEL NIÑO PERDIDO,,
484,1,2091,CONSULTORIO AUXILIAR DE BENISSODA,,
655,1,328,CENTRO DE SALUD DE GUADASSUAR,,
381,1,179,CENTRO DE SALUD DE BENAGUASIL,,
419,1,573,CONSULTORIO AUXILIAR DE ORIHUELA TORREMENDO,,
662,1,50393,CONSULTORIO AUXILIAR DE MUTXAMEL LA HUERTA,,
631,1,64,CONSULTORIO DE CASTELLON DE LA PLANA EL GRAO,,
369,1,335,CENTRO DE SALUD DE CARCAIXENT,,
375,1,168,CENTRO DE SALUD DE VALENCIA REPUBLICA ARGENTINA,,
811,1,24,CONSULTORIO AUXILIAR DE LA JANA,,
498,1,366,CONSULTORIO AUXILIAR DE BARX,,
250,1,678,CONSULTORIO AUXILIAR DE VALL DE ALMONACID,,
456,1,241,CENTRO DE SALUD VALENCIA BENICALAP AZUCENA,,
571,1,6,CONSULTORIO AUXILIAR DE CALIG,,
778,1,636,CONSULTORIO AUXILIAR DE XATIVA,,
834,1,681,CONSULTORIO AUXILIAR DE GAIBIEL,,
533,1,494,CENTRO DE SALUD DE XIXONA / JIJONA,,
185,1,155,CENTRO DE SALUD DE MELIANA,,
142,1,555,CENTRO SANITARIO INTEGRADO GUARDAMAR DEL SEGURA,,
808,1,671,CENTRO DE SALUD DE VALENCIA SERRERIA 2,,
337,1,356,CONSULTORIO AUXILIAR DE MIRAMAR,,
794,1,609,CONSULTORIO AUXILIAR DE SENYERA,,
639,1,33,CENTRO DE SALUD DE ALBOCASSER,,
87,1,2646,CONSULTORIO AUXILIAR LA NUCIA PINAR DE GARAITA,,
829,1,294,CENTRO DE SALUD DE ALCASSER,,
504,1,2348,CONSULTORIO AUXILIAR DE CASTELLONET DE LA CONQUESTA,,
162,1,1207,HOSPITAL VIRGEN DE LOS LIRIOS,,
721,1,374,CONSULTORIO AUXILIAR DE PALMA DE GANDIA,,
769,1,565,CONSULTORIO AUXILIAR DE ORIHUELA HURCHILLO,,
163,1,499,CONSULTORIO AUXILIAR DE BUSOT,,
79,1,2232,CONSULTORIO AUXILIAR DE ALMORADI HEREDADES,,
112,1,514,CONSULTORIO AUXILIAR DE ALGUEÑA,,
409,1,1348,CONSULTORIO AUXILIAR DE CERDA,,
717,1,249,CONSULTORIO AUXILIAR DE ZARRA,,
550,1,2763,CENTRO SANITARIO INTEGRADO DE ONDA II,,
559,1,744,CONSULTORIO AUXILIAR DE ORIHUELA RINCON DE BONANZA,,
402,1,723,CENTRO DE SALUD DE GANDIA COREA,,
376,1,2802,CENTRO SANITARIO INTEGRADO CASTELLON DE LA PLANA GRAO,,
644,1,122,CENTRO DE SALUD DE SAGUNT / SAGUNTO,,
364,1,126,CONSULTORIO AUXILIAR DE CASTELLNOVO,,
481,1,625,CONSULTORIO AUXILIAR PLAYA MUCHAVISTA,,
679,1,389,CENTRO DE SALUD DE ONDARA,,
338,1,390,CONSULTORIO AUXILIAR DE BENIARBEIG,,
355,1,70,CONSULTORIO AUXILIAR DE MONTAN,,
613,1,383,CONSULTORIO AUXILIAR DE XALO / JALON,,
634,1,727,CONSULTORIO AUXILIAR DE CREVILLENT EL REALENGO,,
565,1,418,CENTRO DE SALUD DE CARCER,,
666,1,489,CENTRO DE SALUD DE ALACANT / ALICANTE HOSPITAL PROVINCIAL,,
26,1,1349,CONSULTORIO AUXILIAR DE LA GRANJA DE LA COSTERA,,
604,1,410,CENTRO DE SALUD DE L'ALCUDIA DE CRESPINS,,
318,1,146,CONSULTORIO AUXILIAR DE BONREPOS I MIRAMBELL,,
89,1,2796,CONSULTORIO AUXILIAR CALA DE VILLAJOYOSA,,
502,1,244,CENTRO DE SALUD DE VALENCIA MARCO MERENCIANO,,
398,1,144,CONSULTORIO AUXILIAR DE ALBORAYA RACO DE SANT LLORENS,,
113,1,612,CONSULTORIO AUXILIAR DE SANTA POLA GRAN ALACANT,,
683,1,166,CONSULTORIO DE VALENCIA L'ALGUER,,
448,1,397,CENTRO DE SALUD DE PEGO,,
151,1,368,CONSULTORIO AUXILIAR DE BENIPEIXCAR,,
429,1,3113,CONSULTORIO AUXILIAR ALBUFERETA,,
214,1,574,CENTRO DE SALUD DE SAN MIGUEL DE SALINAS,,
283,1,165,CONSULTORIO DE VALENCIA CHILE,,
494,1,348,CENTRO DE SALUD DE SUECA,,
134,1,457,CENTRO DE SALUD DE BANYERES DE MARIOLA,,
326,1,10,CONSULTORIO AUXILIAR DE LA MATA,,
312,1,432,CENTRO DE SALUD DE MOIXENT / MOGENTE,,
131,1,386,CENTRO DE SALUD DE GATA DE GORGOS,,
621,1,350,CENTRO DE SALUD DE BELLREGUARD,,
425,1,731,CONSULTORIO AUXILIAR DE BENISUERA,,
262,1,117,CONSULTORIO AUXILIAR DE QUARTELL,,
315,1,303,CENTRO DE SALUD DE VALENCIA RUZAFA,,
