cod_prinactivo,Frequency.1,codes,spanish description,english description,comment
2098,1,7089A,FILGRASTIMA,,
876,1,2340A,AZTREONAM,,
385,1,200277A,LEVODOPA + CARBIDOPA,,
117,1,1170A,TRIAZOLAM,,
1080,1,300017A,APOSITOS B OSTOM RES SINT,,
2086,1,1134A,DEFERIPRONA,,
2231,1,125FM,SODIO DIHIDROGENO FOSFATO,,
907,1,2445A,PROTEINSUCCINILATO DE HIERRO,,
1498,1,7157A,LOSARTAN,,
1836,1,3210A,VID ROJA EXTO FLUIDO,,
2251,1,200810A,ETANOL + CLORURO BENZALCONIO,,
320,1,200058A,BENCILPENICILINA ( SODICA + BENZATINA ) + FENOXIMETILPENICILINA,,
1758,1,300798A,APOSITO DE HIDROGEL 20% NaCl,,
1741,1,200867A,ALCOHOLES GRASOS SULFONADOS + BIOTINA,,
521,1,200753A,OLMESARTAN + HIDROCLOROTIAZIDA,,
1660,1,93A,NICARDIPINO,,
928,1,2525A,LODOXAMIDA,,
1314,1,324A,GOMA GUAR,,
1175,1,300483A,SONDA VESICAL BAJA FRICCION NELATON HOMBRE,,
37,1,100324A,CREMA HIDRATANTE PIES,,
1777,1,8299A,PIRFENIDONA,,
196,1,149A,ACIDO FOLICO,,
723,1,201259A,ACIDOS GRASOS OMEGA 3 + VITAMINA E,,
938,1,2569A,LEVOCABASTINA,,
1620,1,8617A,INGENOL MEBUTATO,,
2029,1,201263A,ACIDOS OMEGA 3 + LUTEINA + ZEAXANTINA + ASTAXANTINA,,
1386,1,405A,MERCAPTOPURINA,,
2124,1,100288A,TABLETAS LIMPIEZA PROTESIS DENTAL,,
999,1,2761A,FEXOFENADINA,,
96,1,1105A,RABEPRAZOL,,
1855,1,21A,CALCIO,,
1963,1,201199A,CICLOMETICONA + DIMETICONA,,
1066,1,300002A,ABSORBENTE INC ORINA SUP-NOC RECT,,
2047,1,2861A,VALGANCICLOVIR,,
2188,1,200835A,ACETILSALICILICO ACIDO + CAFEINA + TIAMINA,,
1898,1,300807A,CINCHA ROTULIANA,,
243,1,1695A,HAMAMELIS EXTO FLUIDO,,
984,1,272A,FLUOROURACILO,,
46,1,100350A,EMULSION CALMANTE,,
787,1,2024A,HIDROQUINONA,,
1757,1,100282A,AGUA TERMAL,,
228,1,1642A,GENTAMICINA,,
1662,1,957C,ALCOHOL ISOPROPILICO,,
348,1,200159A,DIHIDROERGOTAMINA + PROPIFENAZONA + CAFEINA,,
1452,1,602A,CIPROTERONA,,
1170,1,300470A,TIRAS REACTIVAS ACETONA ORINA,,
62,1,100420A,APOSITO REDUCTOR DE CICATRICES,,
1007,1,2783A,TOLCAPONE,,
1142,1,300349A,MODULOS LIPIDICOS LCT,,
1992,1,200865A,DEXTROMETORFANO + PSEUDOEFEDRINA,,
1774,1,100408A,LACTOFERRINA BOVINA LIOFILIZADA,,
2255,1,200968A,PREDNISOLONA + CINEOL + CLOROBUTANOL + NEOMICINA + FENILEFRINA + GOMENOL + BACITRICINA,,
812,1,2131A,PIMOZIDA,,
321,1,200074A,BISOPROLOL + HIDROCLOROTIAZIDA,,
1737,1,8040A,HORMONA PARATIROIDEA,,
646,1,201102A,DIMETICONA+PANCREATINA,,
1400,1,463A,BECLOMETASONA,,
1712,1,2894A,PEGVISOMANT,,
58,1,100414A,CEPILLO DENTAL INTERPROXIMAL MINI,,
490,1,200668A,ZINC + PREDNISOLONA + CINCOCAINA + RUSCOGENINA,,
805,1,2108A,KETOROLACO,,
1365,1,3840A,CEFOTAXIMA,,
2247,1,200449A,SULPIRIDA + PIRIDOXINA,,
2081,1,408A,AMFOTERICINA B,,
1245,1,300769A,APOSITO DE ESPUMA POLIURETANO CON HIDROCOLOIDE Y BORDE,,
1307,1,3197A,VANCOMICINA,,
2189,1,200889A,ABEDUL + BREZO + GAYUBA + ESENCIA DE PINO,,
1969,1,7064A,TALIDOMIDA,,
1003,1,2770A,OLANZAPINA,,
742,1,201290A,ATORVASTATINA + ACIDO ACETILSALICILICO + RAMIPRIL,,
1299,1,3170A,TROLAMINA,,
1621,1,8620A,LIXISENATIDA,,
1886,1,8719A,IBRUTINIB,,
823,1,2155A,PIRIDOSTIGMINA,,
276,1,1849A,LINDANE,,
1430,1,531C,ICTIOL,,
1803,1,200439A,SOLUCION RINGER LACTATO,,
1294,1,3142A,TOCOFEROL*,,
1374,1,3881A,ALMAGATO,,
1203,1,300685A,FORMULA EXENTA DE LIPIDOS,,
1316,1,3254A,KETAZOLAM,,
2105,1,100364A,ESPONJA,,
508,1,200728A,BENAZEPRIL + HIDROCLOROTIAZIDA,,
229,1,164A,NANDROLONA,,
1064,1,300000A,ABSORB INC ORINA NOC ANAT,,
1477,1,682A,CLOZAPINA,,
1879,1,300854A,CONTENEDOR RESIDUOS CITOSTÁTICOS,,
278,1,185A,COLEXTRAN,,
1978,1,200385A,PROPIFENAZONA + CODEINA +  HIDROXIZINA,,
1465,1,63A,CITRICO ACIDO*,,
1605,1,8461A,TICAGRELOR,,
419,1,200375A,POTASIO CLORURO + SODIO CLORURO,,
2117,1,612A,CITRULINA,,
811,1,2127A,PICOSULFATO SODICO,,
834,1,2190A,POVIDONA,,
1247,1,300772A,APOSITO DE ESPUMA POLIURETANO CON PLATA HIDROCOLOIDE BORDE,,
533,1,200792A,ACETILSALICILICO ACIDO + ACIDO ASCORBICO,,
808,1,2119A,GOSERELINA,,
1955,1,201365A,VITAMINAS LIPOSOLUBLES A+D+E+K,,
794,1,2055A,FELODIPINO,,
1847,1,8446A,FOSAPREPITANT,,
769,1,201334A,CLINDAMICINA + METRONIDAZOL,,
2257,1,201063A,OXIDO ZINC+ACIDO BORICO,,
402,1,200331A,NEOMICINA + METRONIDAZOL + MICONAZOL + POLIMIXINA B + CENTELLA ASIATICA,,
1638,1,886A,PREDNISONA,,
1366,1,3842A,BENTAZEPAM,,
355,1,200180A,ERGOTAMINA + PARACETAMOL + CAFEINA,,
2027,1,2828A,GLATIRAMERO ACETATO,,
318,1,200049A,B.PERTUSSIS + T. TETANICO + T. DIFTERICO,,
1321,1,3270A,GINKGO BILOBA,,
1395,1,441AK,ASPARTATO ARGININA,,
89,1,1083A,MIANSERINA,,
502,1,200704A,SODIO CLORURO +  SODIO BICARBONATO + POTASIO CLORURO + SODIO SULFATO + POLIETILENGLICOL,,
1164,1,300413A,VENDA DE GASA ELASTICA,,
1491,1,7034A,CABERGOLINA,,
2236,1,1870A,MANITOL*,,
1022,1,2816A,SILDENAFILO,,
2262,1,2544A,TROPISETRON,,
151,1,1272A,RUPATADINA,,
1590,1,8317A,RANOLAZINA,,
2219,1,595A,CICLOSERINA,,
1527,1,7383A,RISEDRONICO ACIDO,,
134,1,1217A,PIOGLITAZONA (D.C.I.-R),,
425,1,200401A,RIFAMPICINA + ISONIAZIDA  + PIRAZINAMIDA,,
1218,1,300713A,COMPLEMENTO ALIMENTICIO PERSONAS DE EDAD,,
1752,1,300711A,PREPARADOS LACTEOS INFANTILES Y JUVENILES,,
1165,1,300420A,VENDA DE GASA HIDROFILA CAMBRIC,,
1837,1,200922A,AC. ASCORBICO + FENILEFRINA + PARACETAMOL,,
1056,1,2945A,LANTANO,,
2014,1,213A,SOJA,,
804,1,2104A,MESALAZINA,,
1833,1,201241A,EMTRICITABINA + RILPIVIRINA + TENOFOVIR DISOPROXIL FUMARATO,,
1968,1,200806A,SAL DE FRUTA NARANJA,,
2186,1,200736A,FACTORES COAGULACIÓN EN COMBINACIÓN (IX + II + VII + X),,
1632,1,8707A,AVANAFILO,,
558,1,200848A,MENTOL + ALCANFOR,,
931,1,2537A,SERTRALINA,,
671,1,201154A,UREA + ADEPS LANAE + ACETONIDO TRIAMCINOLONA,,
436,1,200477A,VIRUS SARAMPION + PAROTIDITIS + RUBEOLA,,
204,1,1553A,FITOMENADIONA,,
258,1,1774A,IMIPRAMINA,,
1920,1,2899A,ADEFOVIR DIPIVOXIL,,
2068,1,2498UI,EPOETINA ZETA,,
2101,1,300844A,SISTEMA + 2 SONDAS RECTALES CON BALON + 2 CINTAS,,
12,1,100261A,GEL BAÑO PH NEUTRO,,
1927,1,2814A,RITUXIMAB,,
1699,1,2912A,APREPITANT,,
1052,1,2933A,ARIPIPRAZOL,,
948,1,2591A,MOCLOBEMIDA,,
2107,1,2991A,OMALIZUMAB,,
1462,1,635A,CLONAZEPAM,,
969,1,2668A,ANTIGENO VI POLISACARIDO CAPSULAR SALMONELLA TYPHI,,
446,1,200538A,FENAZONA + RUTOXIDO + ADRENALINA + NAFAZOLINA,,
791,1,2044A,CEFTIBUTENO,,
645,1,201101A,ALMIDÓN + OXIDO DE ZINC,,
1117,1,300215A,COMPLETAS POLIMERICAS HIPERPROTEICA NORMOCALORICAS,,
983,1,2729A,ANASTROZOL,,
108,1,1140A,CELECOXIB,,
1709,1,1173A,UBIDECARENONA,,
853,1,2267A,DALTEPARINA,,
2167,1,898A,ETINILESTRADIOL,,
2228,1,1010A,ALCANFOR*,,
1169,1,300468A,MODULOS HIDROCARBONADOS Y LIPIDICOS,,
861,1,2296A,SULFASALAZINA,,
641,1,201095A,XILOMETAZOLINA + IPRATROPIO,,
2022,1,100405A,ALERGENOS INMUNAL,,
1112,1,300208A,COLECTOR ORINA AUTOADHESIVO,,
171,1,1379A,VALPROMIDA,,
2135,1,200343A,OXPRENOLOL + CLORTALIDONA,,
1176,1,300484A,SONDA VESICAL BAJA FRICCION NELATÓN MUJER,,
2010,1,2913A,EMTRICITABINA,,
1815,1,8234A,RALTEGRAVIR,,
1629,1,869A,EDETICO ACIDO,,
552,1,200833A,PLANTAGO + CASSIA ANGUSTIFOLIA,,
664,1,201135A,FOSFATO CALCICO + GLUCONATO CALCICO,,
710,1,201237A,ISOFLAVONAS + CALCIO + VITAMINA D,,
1739,1,153A,ACEITE OLIVA*,,
1931,1,201271A,ELVITEGRAVIR + COBICISTAT + EMTRICITABINA + TENOFOVIR,,
729,1,201270A,ACIDO HIALURONICO + SULFADIAZINA ARGENTICA,,
47,1,100358A,HIALURONATO DE ZINC,,
990,1,2741A,NEBIVOLOL,,
29,1,100289A,LECHE LIMPIADORA,,
19,1,100272A,VALERIANA + ISOFLAVONAS DE SOJA,,
1807,1,1279A,LINEZOLID,,
1764,1,300847A,EXTENSION SONDA,,
820,1,2150A,PIRACETAM,,
867,1,2307A,ZOPICLON,,
777,1,201355A,ACIDO BORICO + SUBNITRATO DE BISMUTO,,
1473,1,671A,CLORPROMAZINA,,
85,1,1075A,RIVASTIGMINA,,
1414,1,500904LR,SOJA,,
2011,1,1226B,SEN,,
711,1,201242A,ACETATO DE NOMEGESTROL + ESTRADIOL,,
1568,1,8191A,ROFLUMILAST,,
1044,1,2893A,DUTASTERIDE,,
1241,1,300763A,APOSITO DE ESPUMA POLIURETANO,,
28,1,100287A,BALSAMO NARIZ Y LABIOS,,
1602,1,8451A,PRUCALOPRIDA,,
737,1,201280A,PASTA AL AGUA,,
2254,1,200947A,PROTEINA CRM 197 DIFTERIA + ANTIGENO OLIGOSACARIDO MENINGOCOCO GRUPO C,,
2250,1,200782A,FENILEFRINA + ESCOPOLAMINA + ATROPINA,,
536,1,200795A,ETINILESTRADIOL + DROSPIRENONA,,
1356,1,3735A,DILTIAZEM,,
226,1,1631A,GAMMAGLOBULINA ANTITETANICA,,
2212,1,300793A,APOSITO DE HIDROFIBRA,,
121,1,1174A,URSODEOXICOLICO ACIDO,,
249,1,1720CH,HIDRALAZINA CLORHIDRATO,,
1460,1,632A,CLOMIFENO,,
2197,1,201284A,TETRACICLINA + METRONIDAZOL + BISMUTO,,
1216,1,300706A,LECHE Y FORMULAS PARA LACTANTES DESDE EL PRIMER DIA,,
546,1,200820A,OPIO EXTO + BELLADONA EXTO,,
520,1,200751A,ALENDRONATO + COLECALCIFEROL (2800 UI),,
81,1,1063A,REPAGLINIDA,,
167,1,1360A,PENICILAMINA,,
949,1,2593A,AZELAICO ACIDO,,
1412,1,499A,BIOTINA,,
1018,1,2807A,RIZATRIPTAN,,
2140,1,200855A,SALICILATO DIETILAMINA + CASTAÑO DE INDIAS,,
1002,1,2769A,EOSINA*,,
1996,1,9996A,COLISTIMETATO,,
1097,1,300145A,BOLSAS SISTEMA DOBLE,,
617,1,200966A,CARBOCISTEINA + PROMETAZINA,,
754,1,201313A,ACIDOS OMEGA 3 ESTERES ETILICOS + COLECALCIFEROL,,
1319,1,3263A,XIPAMIDA,,
1140,1,300347A,MODULOS DE VITAMINAS Y MINERALES,,
1229,1,300730A,BOLSA DRENAJE,,
2102,1,2996A,POSACONAZOL,,
300,1,1958A,METOCLOPRAMIDA,,
349,1,200163A,DIOSMINA + HESPERIDINA,,
974,1,26CH,LISINA CLORHIDRATO,,
1288,1,3106A,TETRACOSACTIDA,,
299,1,1957A,METOCARBAMOL,,
2168,1,100269A,TIRAS NASALES,,
2240,1,200106A,CLORANFENICOL + NAFAZOLINA + ZINC SULFATO,,
434,1,200473A,VIRUS GRIPE  ENTERO INACTIVADO,,
59,1,100417A,COMPLEMENTO ALIMENTICIO FERTILIDAD MASCULINA,,
2000,1,8261A,AMBRISENTAN,,
586,1,200895A,PIRIDOXINA + TOCOFEROL + RETINOL,,
2097,1,8102A,MARAVIROC,,
1114,1,300210A,COLECTOR ORINA CON TIRA,,
64,1,100428A,LOCION EMOLIENTE,,
854,1,226A,ACETAZOLAMIDA,,
1376,1,3888A,ALFACALCIDOL,,
1092,1,300111A,BOLSAS RECOGIDA ORINA PIERNA,,
965,1,2661A,CALCIPOTRIOL,,
459,1,200597A,CLOSTRIDIOPEPTIDASA + NEOMICINA,,
1040,1,2884A,OLOPATADINA,,
1228,1,300727A,BOLSAS UROST RES SINT ADH MIC CONVEXA,,
1623,1,8627A,LINACLOTIDA,,
1513,1,7281A,MIZOLASTINA,,
1093,1,300112A,BOLSAS RESINA SINTETICA  FILTRO,,
766,1,201331A,LACTOBACILLUS HELVETICUS + BIFIDOBACTERIUM BIFIDUM + LACTOBACILLUS RHAMNOSUS + VITAMINA C + FOS,,
797,1,2081A,OXITETRACICLINA,,
506,1,200724A,PARACETAMOL + TRAMADOL,,
1509,1,7268A,ANTIGENO HEPATITIS A,,
1105,1,300200A,BRAGUERO INGUINAL IZQUIERDO,,
184,1,1423A,ESCOPOLAMINA,,
1951,1,8458A,FIDAXOMICINA,,
1380,1,392A,AMIODARONA,,
638,1,201090A,DELAPRIL + MANIDIPINO,,
2153,1,2373A,PROPOFOL,,
689,1,201181A,JALEA REAL + GINSENG + VITAMINAS +MINERALES,,
868,1,2317A,MUPIROCINA,,
1403,1,471CH,BENCIDAMINA CLORHIDRATO,,
627,1,201023A,ACIDO ASCORBICO + SODIO PERBORATO,,
544,1,200816A,RESORCINOL + DEXAMETASONA + TETRAINA CLORHIDRATO,,
1572,1,8256A,COLESEVELAM,,
560,1,200850A,RETINOL + GENTAMICINA + METIONINA,,
534,1,200793A,BENZOCAINA + TIROTRICINA + CLORHEXIDINA,,
745,1,201296A,CASSIA ANGUSTIFOLIA + CASSIA FISTULA + CORIANDRO + TAMARINDO,,
877,1,2345A,LOVASTATINA,,
1338,1,348A,CARBENOXOLONA,,
1891,1,8467A,DOLUTEGRAVIR,,
952,1,2596A,SUMATRIPTAN,,
1542,1,7432A,EZETIMIBA,,
1279,1,300860A,CAMARA INHALACION + MASCARILLA ADULTOS,,
252,1,1741A,INSULINA ISOFANICA,,
1082,1,300024A,BOLSAS ILEOST KARAYA ADHESIVO MICROPORO,,
1090,1,300107A,BOLSAS KARAYA FILTRO,,
695,1,201195A,HIDROCORTISONA + PROPANOCAINA,,
563,1,200854A,SALICILATO METILO + ALCANFOR + MENTOL + ESENCIA TREMENTINA,,
1642,1,890A,TESTOSTERONA,,
327,1,200086A,CANDESARTAN + HIDROCLOROTIAZIDA,,
903,1,2429A,ZOLPIDEM,,
183,1,1419A,ERITROMICINA,,
341,1,200129A,DEANOL + HEPTAMINOL,,
1372,1,3871A,CAPTOPRIL,,
129,1,119A,GLUCOSA*,,
1845,1,100406A,ALERGENOS INMUNOTEK,,
496,1,200680A,TELMISARTAN + HIDROCLOROTIAZIDA,,
1591,1,8321A,BAZEDOXIFENO,,
1077,1,300014A,APOSITOS B OSTOM ARO RES SINT MIC,,
977,1,2710A,VALACICLOVIR,,
2048,1,9079A,DASABUVIR,,
1063,1,2A,RANITIDINA,,
415,1,200370A,POLIMIXINA B + TRIMETOPRIMA,,
2018,1,200734A,ABACAVIR + LAMIVUDINA,,
842,1,2215A,PRANOPROFENO,,
2206,1,29Z,ALFA-1 ANTITRIPSINA,,
2023,1,100453A,TEST EMBARAZO,,
1710,1,2838A,TENOFOVIR,,
1933,1,1745A,FLUMAZENILO,,
2059,1,731A,DIAZOXIDO,,
49,1,100377A,ISOFLAVONAS,,
1549,1,77A,SUCRALFATO,,
1834,1,300627A,SIST.INC.ORINA OCLUSIVO HOMBRE,,
1032,1,284A,ALANINA,,
803,1,2100A,FAMOTIDINA,,
1589,1,8315A,POLEN GRAMINEA EXTRACTO ALERGENICO,,
978,1,2713A,BICALUTAMIDA,,
1525,1,7362A,CEFEPIME,,
1840,1,300715A,VENDAJE COMPRESIÓN MULTICAPA,,
592,1,200911A,ACIDO ACETILSALICILICO + CLORFENAMINA + CAFEINA + ACIDO ASCORBICO,,
2008,1,200742A,TENOFOVIR + EMTRICITABINA,,
1560,1,8087A,RETAPAMULINA,,
1139,1,300346A,MODULOS AMINOACIDOS,,
255,1,1769A,IBUPROFENO,,
2185,1,200719A,PROTEINA + ALFA-1 ANTITRIPSINA,,
1475,1,678A,CLOTIAPINA,,
864,1,22A,MAGNESIO,,
633,1,201064A,OXAZEPAM + METOCLOPRAMIDA + DIMETICONA+BIODIASTASA,,
491,1,200670A,ACEXAMICO ACIDO + BACITRACINA + NEOMICINA +POLIMIXINA B,,
1844,1,300863A,MASCARILLA PARA CAMARA INHALACION ADULTOS,,
155,1,128A,CLORAMBUCILO,,
1788,1,200763A,BACTERIAS UROMUNE,,
575,1,200874A,ACETILSALICILICO + CLORFENAMINA + FENILEFRINA,,
606,1,200944A,IBUPROFENO + CODEINA,,
2072,1,8052A,DEFERASIROX,,
346,1,200155A,DIHIDROERGOCRISTINA + CINARIZINA,,
874,1,2339A,ALMASILATO,,
1418,1,502A,SULBUTIAMINA,,
1272,1,300825A,TOALLITA INCONTINENCIA URINARIA,,
624,1,200994A,PARAFINA LIQUIDA + PICOSULFATO,,
237,1,1663A,GLUCAGON,,
1932,1,8322A,TOLVAPTAN,,
734,1,201276A,ACIDO SALICILICO + FLUOROURACILO,,
362,1,200219A,FLUOCINOLONA ACETONIDO + NEOMICINA + POLIMIXINA B,,
435,1,200474A,VIRUS GRIPE  FRACCIONADO,,
849,1,2239A,MAGALDRATO,,
835,1,21CA,CALCIO CARBONATO,,
56,1,100411A,LACTOBACILLUS RHAMNOSUS CEPA GG,,
443,1,200528A,CIPROFLOXACINO + HIDROCORTISONA,,
1100,1,300178A,BOLSAS UROST KAR ADH MIC,,
1115,1,300212A,FORMULAS COMPLETAS MONOMERICAS NORMOPROTEICAS,,
1486,1,7007A,APRACLONIDINA,,
699,1,201203A,ATENOLOL + HIDROCLOROTIAZIDA + AMILORIDA,,
1232,1,300745A,EMPAPADOR DE CELULOSA,,
1240,1,300762A,APOSITO DE ESPUMA POLIETILENO TRAQUEO,,
146,1,125FD,SODIO HIDROGENO FOSFATO,,
687,1,201178A,ACIDOS GRASOS + FOSFATIDILSERINA + ACIDO FOLICO + VITAMINA E + VITAMINA B12,,
1704,1,8037A,TIGECICLINA,,
221,1,1619A,FUSIDICO ACIDO,,
34,1,100300A,LOCION HIDRATANTE,,
358,1,200185A,ESTREPTOQUINASA + ESTREPTODORNASA,,
1536,1,7414A,LEFLUNOMIDA,,
1865,1,7377A,RILUZOL,,
428,1,200416A,SOLUCION GLUCOSALINA,,
1606,1,8472A,APIXABAN,,
2005,1,8088A,ABATACEPT,,
1824,1,201309A,OMBITASVIR+PARITAPREVIR+RITONAVIR,,
2099,1,8625A,TERIFLUNOMIDA,,
2146,1,201156A,UREA + HIDROCORTISONA,,
290,1,1922A,METADONA,,
1672,1,9995A,ESTERES ETILICOS DE LOS ACIDOS OMEGA 3,,
1915,1,449WT,AZUFRE PRECIPITADO*,,
431,1,200462A,TRANDOLAPRIL + VERAPAMILO,,
1695,1,869B,EDTA,,
2076,1,100351A,TALCO LIQUIDO,,
1423,1,510A,BROMAZEPAM,,
616,1,200964A,GUAIFENESINA + DIPROFILINA + BETAMETASONA,,
539,1,200799A,DEXTROMETORFAN + CLORFENAMINA + PARACETAMOL,,
2242,1,200192A,FENILBUTAZONA + NICOTINATO METILO + VITAMINA F,,
437,1,200488A,CIPROTERONA + ESTRADIOL,,
727,1,201265A,HIERRO PIROFOSFATO + VITAMINA C + VITAMINA B12,,
1617,1,85A,BENZOCAINA*,,
1088,1,300095A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO,,
288,1,1912A,MEQUITAZINA,,
1224,1,300723A,ABSORBENTE INC ORINA DIA ANAT INICIA,,
215,1,1587A,FOLINICO ACIDO,,
298,1,1951A,TIAMAZOL,,
1160,1,300390A,VENDA ELASTICA ADHESIVA,,
792,1,2048A,NITRENDIPINO,,
173,1,1380A,DISOPIRAMIDA,,
1453,1,604A,CITICOLINA,,
1604,1,845A,COLESTIPOL,,
736,1,201279A,CLINDAMICINA + BENZOILO PEROXIDO,,
1248,1,300773A,APOSITO DE ESPUMA POLIURETANO CON SILICONA,,
1273,1,300833A,COMPLEMENTO ALIMENTICIO EMBARAZO Y LACTANCIA,,
1692,1,2353A,PRAMOCAINA,,
845,1,2222A,LISINOPRIL,,
2089,1,2599A,TOXINA BOTULINICA TIPO A,,
1157,1,300368A,TOBILLERA,,
1770,1,293A,AUROTIOMALATO SODICO,,
2139,1,200679A,FAMOTIDINA + CALCIO CARBONATO + MAGNESIO HIDROXIDO,,
850,1,2255SU,QUININA SULFATO,,
2174,1,1211A,LUTROPINA ALFA,,
182,1,1396A,DOXILAMINA,,
374,1,200253A,HIDROCORTISONA + OXITETRACICLINA + POLIMIXINA B,,
230,1,1651A,GLICEROL,,
294,1,193A,PIRIGLUTINA,,
940,1,2571A,HIPROMELOSA,,
848,1,2231A,EBASTINA,,
2094,1,300838A,APOSITO DE COLAGENO CON CELULOSA OXIDADA REGENERADA Y PLATA,,
367,1,200230A,G-AMINOBUTIRICO ACIDO + GLUTAMATO MAGNESICO + PIRIDOXINA,,
632,1,201050A,HEXETIDINA + NISTATINA + LIDOCAINA + METILPREDNISOLONA,,
576,1,200875A,PARACETAMOL + CAFEINA + BROMFENIRAMINA,,
378,1,200265A,INSULINA HUMANA ACCION INTERMEDIA,,
20,1,100273A,CHAMPU,,
477,1,200633A,BETAMETASONA + FUSIDICO ACIDO,,
1300,1,3171A,TRIHEXIFENIDILO,,
1628,1,868A,ECONAZOL,,
1736,1,100158A,METIRAPONA,,
930,1,2534A,TIZANIDINA,,
32,1,100298A,PROANTOCIANIDADINAS,,
2259,1,2114A,PENTAZOCINA,,
445,1,200536A,EMULSION LIPIDICA,,
1391,1,429A,FLUTAMIDA,,
614,1,200957A,METFORMINA + VILDAGLIPTINA,,
427,1,200405A,SALICILATO DIETILAMINA + MIRTECAINA,,
102,1,1123A,INSULINA ASPARTA,,
706,1,201224A,PROTEINAS SUERO LECHE + METIONINA + VITAMINA E,,
1257,1,300787A,APOSITO DE HIDROCOLOIDE EN MALLA CON VASELINA,,
232,1,1653A,GLIBENCLAMIDA,,
1914,1,200981A,CORPITOLINOL + TOCOFEROL,,
1666,1,975A,AMIDOTRIZOICO ACIDO,,
324,1,200081A,CALCIO FOSFATO + COLECALCIFEROL,,
467,1,200612A,TIMOLOL + LATANOPROST,,
554,1,200836A,MELISSA OFFICINALIS + VALERIANA,,
774,1,201343A,BRINZOLAMIDA + BRIMONIDINA,,
1458,1,61A,ASCORBICO ACIDO,,
1729,1,200478A,ZIDOVUDINA + LAMIVUDINA,,
1718,1,1806A,FOSFORO,,
2037,1,1883A,MECLOZINA,,
2041,1,501311LR,ALERGENOS ALK,,
1143,1,300350A,MODULOS LIPIDICOS MCT,,
212,1,1577A,FLURAZEPAM,,
1885,1,1251A,ACIDO ZOLEDRONICO,,
2083,1,8422MH,BOSUTINIB MONOHIDRATO,,
843,1,2218A,PROPRANOLOL,,
4,1,100165A,EXTRACTOS,,
574,1,200872A,PARACETAMOL + PSEUDOEFEDRINA + DEXTROMETORFAN,,
1346,1,3655A,POLIESTIRENO SULFONATO,,
1420,1,5061A,POLISACARIDOS CAPSULARES PNEUMOCOCO,,
177,1,138SU,ZINC SULFATO,,
109,1,1141A,EXEMESTANO,,
1533,1,7406A,IRBESARTAN,,
584,1,200891A,GUAIFENESINA + PSEUDOEFEDRINA + TRIPROLIDINA,,
1041,1,2885A,OSELTAMIVIR,,
1123,1,300252A,FILTROS COLOSTOMIA MAGNETICA,,
197,1,150A,FLUOCINOLONA,,
583,1,200887A,DEXTROMETORFANO + PSEUDOEFEDRINA + TRIPROLIDINA,,
1124,1,300255A,FORMULAS ESPECIALES CON HIDROLIZADOS DE PROTEINAS LACTEAS SIN LACTOSA PARA LACTANTES,,
798,1,2092A,PARAFINA LIQUIDA*,,
1587,1,830A,CICLOBENZAPRINA,,
1062,1,2992A,IVABRADINA,,
345,1,200151A,DIFLUCORTOLONA + CLORQUINALDOL,,
1906,1,200563A,PERFENAZINA + AMITRIPTILINA,,
1747,1,2834A,BEXAROTENO,,
530,1,200789A,CLORMADINONA + ETINILESTRADIOL,,
1635,1,878A,ETIDRONICO ACIDO,,
1876,1,300830A,APOSITO HIDROFIBRA CON SILICONA,,
527,1,200785A,ETINILESTRADIOL + NORGESTIMATO,,
1821,1,100367A,COLLARIN,,
548,1,200822A,SIMETICONA + LOPERAMIDA,,
1579,1,8279A,LACOSAMIDA,,
870,1,2328A,BISOPROLOL,,
1754,1,1508A,FENELZINA,,
1954,1,200798A,HIERRO MAGNESIO + SULFANILAMIDA+ BREA+ PLOMO + BALSAMO PERU,,
1577,1,826A,CEFOXITINA,,
2138,1,200629A,APROTININA + TROMBINA + FIBRINOGENO + FACTOR XIII + CALCIO,,
207,1,155B,RETINOICO (TRANS) ACIDO,,
195,1,148A,EFEDRINA,,
256,1,176A,ACETILSALICILICO ACIDO,,
144,1,125BI,SODIO BICARBONATO,,
788,1,2027A,NISTATINA,,
1571,1,8216A,FEBUXOSTAT,,
1178,1,300486A,SONDA VESICAL BAJA FRICCION TIEMANN,,
1693,1,201079A,PROPILENGLICOL+ACEITE AGUACATE+EXTRACTO DE SOLANUM LYCOPERSICUM,,
764,1,201328A,COLISTINA SULFATO + TOBRAMICINA SULFATO,,
1437,1,559A,CAPSAICINA,,
635,1,201072A,ALISKIREN + HIDROCLOROTIAZIDA,,
257,1,176LB,ACETILSALICILATO LISINA,,
1210,1,300696A,FORMULAS COMPLETAS POLIMERICAS HIPERPROTEICAS NORMOCALORICAS CON FIBRA,,
822,1,2152A,PIRAZINAMIDA,,
851,1,2256A,MIDAZOLAM,,
192,1,1464A,ETAMBUTOL,,
1811,1,201209A,DAPSONA + OXALATO DE HIERO,,
1167,1,300466A,VENDA DE MALLA HIDROFILA CAMBRIC,,
760,1,201323A,SULFATO DE COBRE + SULFATO DE ZINC,,
509,1,200730A,LEVODOPA + CARBIDOPA + ENTACAPONA,,
1116,1,300214A,FORMULAS COMPLETAS OLIGOMERICAS NORMOPROTEICAS,,
610,1,200951A,ALENDRONATO + COLECALCIFEROL (5600 UI),,
2263,1,2820A,ZANAMIVIR,,
447,1,200557A,TIAMINA + CIANOCOBALAMINA + PIRIDOXINA,,
157,1,129A,CLOPERASTINA,,
654,1,201120A,CLOTRIMAZOL + BETAMETASONA,,
