sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:atc,matchScore,mappingStatus,conceptId,comment
1217A,PIOGLITAZONA (D.C.I.-R),17504,1525221;1525220;1525218;1525217;1525216;1525215;19079293,A10BG03,0.37408447265625,AUTO_MAPPED,1525215,
200104A,CLORANFENICOL + GRAMICIDINA + POLIMIXINA B + TETRIZOLINA,0,,S01AA20,0.3982236087322235,UNCHECKED,990069,
300096A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  20 - 55 MM,93,,,0.29932862520217896,UNCHECKED,19084915,
7358A,CEFDITORENO,63939,1747006;1747005;1747010;1747011;19135293,J01DD16,0.9786916971206665,APPROVED,1747005,
3137A,TIROIDES EXTO,0,,H03AA05,0.5652898550033569,UNCHECKED,45892722,
100348A,ESPUMA PROTECTORA MANOS,1,,,0.36005938053131104,UNCHECKED,42801267,
2321A,CLODRONICO ACIDO,14,19024249,M05BA02,0.7682037353515625,AUTO_MAPPED_TO_1,19024249,
200621A,TOCOFEROL + OXACEPROL,0,,M01AX74,0.5082553029060364,UNCHECKED,19003691,
899A,KETOTIFENO,36531,,S01GX08,0.9610247015953064,APPROVED,986117,
200324A,NEOMICINA + CENTELLA ASIATICA EXTO,3193,,D09AA91,0.6081879138946533,UNCHECKED,42898716,
709A,DECUALINIO,2746,,G01AC05,0.44219693541526794,UNCHECKED,1341238,
1106A,SOMATORELINA,0,19056701,V04CD05,0.9665406942367554,AUTO_MAPPED_TO_1,19056701,
201385A,TIMOLOL + TAFLUPROST,0,,S01ED51,0.8516262769699097,UNCHECKED,902427,
3735CH,DILTIAZEM CLORHIDRATO,682,,,0.6343005299568176,UNCHECKED,1328165,
749A,DICLORFENAMIDA,0,924298;924296;19008287,S01EC02,0.6137444972991943,AUTO_MAPPED,924296,
200703A,CIANOCOBALAMINA + DEXAMETASONA + TIAMINA + LIDOCAINA,41000,,M01BX91,0.4183133542537689,APPROVED,989878,
200703A,CIANOCOBALAMINA + DEXAMETASONA + TIAMINA + LIDOCAINA,41000,,M01BX91,0.4183133542537689,APPROVED,19137312,
200703A,CIANOCOBALAMINA + DEXAMETASONA + TIAMINA + LIDOCAINA,41000,,M01BX91,0.4183133542537689,APPROVED,1518254,
200703A,CIANOCOBALAMINA + DEXAMETASONA + TIAMINA + LIDOCAINA,41000,,M01BX91,0.4183133542537689,APPROVED,1308738,
618A,CLOBETASOL,103751,998415;40164516;40164517;40164518;40164519;40164514;40164515;19114411;40164524;40164525;40164526;40164527;19102575;40164520;40164521;40164522;40164523;19105072;40164528;40228848;40164529;40164530;19002305;19002304;40231701;40164501;40164502;40164503;998456;40164508;40164504;40164505;40164506;40164507,D07AD01,1.0,APPROVED,998415,
1957A,METOCARBAMOL,66371,705002;705003;19034291;704943;704972;704944;40227198;704945;19034269,M03BA03,0.770128071308136,APPROVED,704943,
852A,DIETILCARBAMAZINA,0,19025698;43012649;43012651;43012653;19001407,P02CB02,0.7559759616851807,AUTO_MAPPED,19025698,
890PR,TESTOSTERONA PROPIONATO,302,,,0.8526158332824707,UNCHECKED,1636780,
201101A,ALMIDÓN + OXIDO DE ZINC,154,,D02AB91,0.3267509341239929,UNCHECKED,984801,
200123A,CORNEZUELO CENTENO EXTO + PASSIFLORA + SALIX,879,,,0.3189007043838501,UNCHECKED,1306905,
726D,COMPLEJO HIERRO DEXTRAN,45,,,0.32833966612815857,UNCHECKED,1381661,
201360A,ERITROMICINA + BENZOLIO PEROXIDO + AC. SALICILICO,1,,,0.36405378580093384,UNCHECKED,918172,
1395A,DOXICICLINA,33560,,J01AA02,0.4654081165790558,UNCHECKED,1724666,
201103A,DIMETICONA+ZINC OXIDO,25,,D02AB92,0.4245867133140564,UNCHECKED,911064,
201195A,HIDROCORTISONA + PROPANOCAINA,66,,D07XA01,0.5673695802688599,UNCHECKED,927478,
8363A,CANAKINUMAB,1,40161669;40161671;40161672,L04AC08,1.0,AUTO_MAPPED,40161669,
2402A,TERAZOSINA,10119,1341268;1341269;1341270;1341238;1341302;1341271;19067686;19079718;1341267;19121931;1341308;19038603;19038601;19121928;19003823;19038604;19038605;19003822;19003824,G04CA03,0.9636077284812927,AUTO_MAPPED,1341238,
2142A,ENALAPRIL,266202,40165767;40165762;40165763;40165772;40165773;40165774;40165775;19065449;40165768;19025231;1341927;1342023;40165789;40165790;19025180,C09AA02,1.0,APPROVED,1341927,
201142A,CIPROHEPTADINA+CARNITINA+ARGININA ASPARTATO,0,,A15ZZ91,0.3753262460231781,UNCHECKED,19006410,
49A,PROMETAZINA,254,,R06AD02,0.9644882678985596,UNCHECKED,1153013,
2694A,TACROLIMUS,42416,,L04AD02,1.0,APPROVED,950637,
138EW,ZINC DIBUTILDITIOCARBAMATO,44,,,0.666930615901947,UNCHECKED,43532294,
201408A,DEXKETOPROFENO + TRAMADOL,0,,N02AJ14,0.7220089435577393,UNCHECKED,19056874,
200478A,ZIDOVUDINA + LAMIVUDINA,224,,J05AR01,0.8764922022819519,UNCHECKED,1710612,
54A,HIDROCORTISONA,98733,,S01BA02,0.6345035433769226,APPROVED,975125,
7034A,CABERGOLINA,14695,,N04BC06,0.9684202671051025,UNCHECKED,1558471,
2260A,SULTAMICILINA,0,,J01CR04,0.8614926338195801,UNCHECKED,1717327,
200290A,"LOSARTAN + HIDROCLOROTIAZIDA  50/12,5",16433,,C09DA01,0.5058963894844055,UNCHECKED,1367500,
300365A,SONDA VESICAL SILICONA,7767,,,0.4914810359477997,UNCHECKED,19066891,
200146A,DIAZEPAM + PIRIDOXINA,18590,,N05BA51,0.5265640020370483,UNCHECKED,723013,
21A,CALCIO,274,,A12AA04,0.9097718000411987,UNCHECKED,19095164,
300406A,ESPARADRAPO HIPOALERGICO,19045,,,0.3812103271484375,UNCHECKED,1150770,
200461A,TOXOIDE  DIFTERICO + TOXOIDE  TETANICO,90,,J07AM51,0.35196980834007263,UNCHECKED,529411,
302A,ALIMEMAZINA,70,19005570;19046720;19106756;19000937;19129074;19129073;19129072;19005622;19005591;19005594;19005595;19104377;19038936;19005593,R06AD01,0.9627836346626282,AUTO_MAPPED,19005570,
710A,DEFEROXAMINA,22,1711947,V03AC01,0.9635525941848755,AUTO_MAPPED_TO_1,1711947,
50A,AMONIO,0,,B05XA04,0.5425753593444824,UNCHECKED,19091830,
300814A,SISTEMA FIJACION VIAS CENTRALES,8,,,0.37295737862586975,UNCHECKED,19020568,
2512A,ROXATIDINA,0,19011685,A02BA06,0.9451779127120972,AUTO_MAPPED_TO_1,19011685,
200105A,CLORANFENICOL + NAFAZOLINA + PROCAINA + UREA,0,,S01AA20,0.4499761760234833,UNCHECKED,990069,
2875A,PERTECNETATO (TC-99M) DE SODIO,0,44814442,V09FX01,0.2594216763973236,AUTO_MAPPED_TO_1,44814442,
200664A,ESCOPOLAMINA + AZINTAMIDA,40,,A03ED93,0.4738779664039612,UNCHECKED,965748,
2127A,PICOSULFATO SODICO,198,19025115,A06AB08,0.7834958434104919,AUTO_MAPPED_TO_1,19025115,
1073A,FOLITROPINA ALFA,1437,40173509;40173413;40173505;19077515;1543004;1543036;19135407;1543003;1543034;1543033;1543032;1542951;1542950;1542949;1542948;1543011;1543009;40173395,G03GA05,0.7742058038711548,AUTO_MAPPED,1542948,
3169A,TETRAZEPAM,19,19041746,M03BX07,1.0,AUTO_MAPPED_TO_1,19041746,
200647A,BETAMETASONA + CLIOQUINOL + GENTAMICINA + TOLNAFTATO,1252,,D07XC01,0.6025402545928955,UNCHECKED,980867,
183A,LACTICO ACIDO*,1,,B05BB01,0.34947526454925537,UNCHECKED,19011035,
200955A,PICOSULFATO SODICO + OXIDO MAGNESIO + ACIDO CITRICO,0,,A06AB58,0.393857479095459,UNCHECKED,19025115,
2311A,ENALAPRILAT,0,40165767;40165762;40165763;40165772;40165773;40165774;40165775;19065449;40165768;19025231;1341927;1342023;40165789;40165790;19025180,C09AA02,0.9056733846664429,AUTO_MAPPED,1341927,
8668A,SIMEPREVIR,1230,44785086,J05AP05,1.0,AUTO_MAPPED_TO_1,44785086,
2604A,QUAZEPAM,1678,19036747;19036745;731190;731189;731188,N05CD10,1.0,AUTO_MAPPED,731188,
201260A,ARTENIMOL+PIPERAQUINA TETRAFOSFATO TETRAHIDRATO,5,,,0.40828362107276917,UNCHECKED,19018511,
548A,NADOLOL,11141,19034018;19019234;19019235;1313200;19019238;19019239;19019236;19025098;1313295;19025097;19034041;19034045,C07AA12,1.0,AUTO_MAPPED,1313200,
2376A,TRIPTORELINA,9608,40174069;19124353;1343040;40174077;40174076;1343039;40174073;40174072,L02AE04,0.9709401726722717,AUTO_MAPPED,1343039,
200469A,URACILO + TEGAFUR,0,,L01BC53,0.6299592852592468,UNCHECKED,19056756,
100265A,CREMA HIDRATANTE FACIAL,313,,,0.3105818033218384,UNCHECKED,976778,
300097A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  25  MM,1,,,0.2975075840950012,UNCHECKED,19084915,
8360A,GOLIMUMAB,947,19048227;19135442;19041065,L04AB06,1.0,AUTO_MAPPED,19041065,
882A,ETOMIDATO,0,19050512;19050488;19050511,N01AX07,0.9377173185348511,AUTO_MAPPED,19050488,
8677A,TOFACITINIB,0,42901964;42904205,L04AA29,1.0,AUTO_MAPPED,42904205,
3867A,VIRUS RABIA,1,,J07BG01,0.5949214696884155,UNCHECKED,46234308,
200079A,CALCIO CARBONATO + COLECALCIFEROL,361666,,A12AX93,0.7204993963241577,APPROVED,19095164,
200079A,CALCIO CARBONATO + COLECALCIFEROL,361666,,A12AX93,0.7204993963241577,APPROVED,19035704,
200077A,BUPIVACAINA + EPINEFRINA,0,,N01BB51,0.5775395631790161,UNCHECKED,732893,
200854A,SALICILATO METILO + ALCANFOR + MENTOL + ESENCIA TREMENTINA,199,,,0.357145756483078,UNCHECKED,966376,
201376A,TRIFLURIDINA + TIPIRACILO,0,,L01BC59,0.5474130511283875,UNCHECKED,905078,
1104A,DACLIZUMAB,0,19023200;19036894;19036892,L04AC01,1.0,AUTO_MAPPED,19036892,
201122A,OTRAS ASOCIACIONES DE TONICOS,1,,,0.29343488812446594,UNCHECKED,42904205,
9090A,ALECTINIB,0,35604657,L01XE36,1.0,AUTO_MAPPED_TO_1,35604657,
2906A,ADALIMUMAB,5067,1119155;1119154;1119119;19127197;19127196,L04AB04,1.0,AUTO_MAPPED,1119119,
2164A,PIRVINIO,0,19031165,P02CX01,0.3201342523097992,AUTO_MAPPED_TO_1,19031165,
300701A,MODULOS ESPESANTES,23389,,,0.528555154800415,UNCHECKED,19005512,
201109A,ETILMORFINA + DIASTASA + ALBUMINA TANATO + ALMIDÓN,0,,A07DA91,0.26712092757225037,UNCHECKED,19084915,
201251A,LUTEINA + ZEAXANTINA + ACIDOS OMEGA 3 + VITAMINAS + MINERALES,151,,,0.3824484944343567,UNCHECKED,1343914,
2977A,NITISINONA,0,1586664;1586666;1586640;1586641;1586662;19098412;1586663,A16AX04,0.9024155139923096,AUTO_MAPPED,1586640,
90689A,MALATION,7,,,0.8397624492645264,UNCHECKED,19126516,
1098A,METILDIGOXINA,2436,19094483,C01AA08,0.9844111204147339,AUTO_MAPPED_TO_1,19094483,
1555A,FLAVODATO DISODICO,0,,C05CA93,0.8144404888153076,UNCHECKED,19063191,
2444A,ZOFENOPRIL,0,19102107,C09AA15,1.0,AUTO_MAPPED_TO_1,19102107,
722A,DEXAMETASONA,74748,,S03CA01,0.7392538189888,APPROVED,1518254,
200584A, CLORFENAMINA + CODEINA + PSEUDOEFEDRINA,0,,R05DA20,0.5228289365768433,UNCHECKED,1192710,
7411A,EPROSARTAN,29075,19068339;19068340;19076923;1346686;1346713;19076924,C09CA02,1.0,AUTO_MAPPED,1346686,
200653A,BALSAMO PERU + BENZOCAINA + BISMUTO NITRATO + ESTRONA + ERGOCALCIFEROL + RETINOL,87,,D03AX96,0.3974998891353607,UNCHECKED,19045045,
200574A,NEOMICINA + BECLOMETASONA,825,,D07CC04,0.6231571435928345,UNCHECKED,1115572,
2150A,PIRACETAM,3644,19046654,N06BX03,1.0,AUTO_MAPPED_TO_1,19046654,
200463A,TRIAMCINOLONA + BENZOCAINA* + SULFATIAZOL,0,,D07CB01,0.35689735412597656,UNCHECKED,1164108,
1354A,DIMECROTATO MAGNESICO,0,,A05AX91,0.7862033247947693,UNCHECKED,36878712,
9135A,TEDIZOLID,0,45775686,J01XX11,1.0,AUTO_MAPPED_TO_1,45775686,
200597A,CLOSTRIDIOPEPTIDASA + NEOMICINA,421,,D03BA52,0.6291423439979553,UNCHECKED,40172153,
1903A,MENADIONA,0,19105842;19062757;19009082;19007690;19059131;19001579;19001948;19059132;19059133,B02BA02,0.915978193283081,AUTO_MAPPED,19001579,
100313A,SULFURO DE RENIO COLOIDAL Y TECNECIO,0,,V10AX05,0.39321643114089966,UNCHECKED,19058374,
81A,NEOMICINA*,72,,S01AA03,0.4845287799835205,UNCHECKED,1329241,
957A,ISOPROPILICO ALCOHOL,1,,,0.6321719884872437,UNCHECKED,19028106,
200317A,NEOMICINA +  HIDROCORTISONA,203,,G01BA91,0.39911484718322754,UNCHECKED,915981,
2775A,FIBRA VEGETAL,748,,,0.5868141651153564,UNCHECKED,36878879,
88A,LORMETAZEPAM,198104,19007977,N05CD06,1.0,APPROVED,19007977,
200142A,DEXTRAN 70 + GLUCOSA,0,,B05AA93,0.9683247804641724,UNCHECKED,1319156,
449WT,AZUFRE PRECIPITADO*,5,,,0.40043944120407104,UNCHECKED,19022956,
9282A,LONOCTOCOG ALFA,0,1352213;19130005;19115179;19129868,B02BD02,0.90119469165802,AUTO_MAPPED,1352213,
9069A,PEMBROLIZUMAB,0,45775965,L01XC18,1.0,AUTO_MAPPED_TO_1,45775965,
200575A,HIDROCORTISONA + CLIOQUINOL,0,,S01CA03,0.785688579082489,UNCHECKED,980867,
2897A,MIGLUSTAT,6,19113619;19102160;19045272,A16AX06,1.0,AUTO_MAPPED,19045272,
2528A,SURFACTANTE PULMONAR PORCINO,0,19065954;19091379;19091378;40222438;19104475;19104474;40165432;19066701,R07AA02,0.0,UNCHECKED,0,
1587A,FOLINICO ACIDO,7084,,V03AF06,0.6785086393356323,UNCHECKED,1388796,
200841A,LIDOCAINA + CARRAGAHEN  + TITANIO OXIDO,857,,,0.3577713668346405,UNCHECKED,1036884,
300017A,APOSITOS B OSTOM RES SINT,10198,,,0.29716750979423523,UNCHECKED,19112540,
2002A,NAPROXENO,342761,,M02AA12,0.9572739601135254,APPROVED,1115008,
433A,HIDROSMINA,11043,,C05CA05,0.5466490983963013,UNCHECKED,19029488,
403A,MELFALAN,212,1301267;40168052;1301271;1301270;19007262;19007263;130
