cie9p,Frequency.3,codes,spanish description,english description,comment
68.25          ,29,1314,EMBOLIZACION DE ARTERIA UTERINA [EAU] SIN ESPIRAL,,
0THD0LZ        ,29,Unknown,Unknown,,
0JPV33Z        ,28,Unknown,Unknown,,
84.19          ,28,442,AMPUTACION ABDOMINOPELVICA,,
0JB83ZX        ,28,Unknown,Unknown,,
F0733ZZ        ,28,Unknown,Unknown,,
0MQ24ZZ        ,28,Unknown,Unknown,,
0DQ70ZZ        ,28,Unknown,Unknown,,
0FT20ZZ        ,28,Unknown,Unknown,,
07950ZX        ,28,Unknown,Unknown,,
0F9940Z        ,28,Unknown,Unknown,,
22.12          ,28,Unknown,Unknown,,
55.35          ,28,371,OTRA ABLACION DE LESION O TEJIDO RENAL Y LA NO ESPECIFICADA,,
0DN84ZZ        ,28,Unknown,Unknown,,
09BA0ZZ        ,28,Unknown,Unknown,,
4A0D75Z        ,28,Unknown,Unknown,,
87.35          ,28,Unknown,Unknown,,
0JBF0ZX        ,28,Unknown,Unknown,,
3E01305        ,28,Unknown,Unknown,,
CP1Z1ZZ        ,28,Unknown,Unknown,,
0RG20J0        ,28,Unknown,Unknown,,
02RF38Z        ,28,Unknown,Unknown,,
83.79          ,28,Unknown,Unknown,,
0CBPXZX        ,28,Unknown,Unknown,,
0Y6U0Z0        ,28,Unknown,Unknown,,
BD16YZZ        ,28,Unknown,Unknown,,
0JH630Z        ,28,Unknown,Unknown,,
B448ZZZ        ,28,Unknown,Unknown,,
0BBM4ZX        ,28,Unknown,Unknown,,
0PSCXZZ        ,28,Unknown,Unknown,,
0TQD8ZZ        ,28,Unknown,Unknown,,
80.49          ,28,Unknown,Unknown,,
33.71          ,28,Unknown,Unknown,,
78.50          ,28,Unknown,Unknown,,
31.62          ,28,Unknown,Unknown,,
41.98          ,28,982,OTRAS OPERACIONES SOBRE MEDULA OSEA,,
25.94          ,28,Unknown,Unknown,,
0SH904Z        ,28,Unknown,Unknown,,
59.11          ,28,1533,LISIS DE ADHERENCIAS PERIVESICALES,,
0SGG04Z        ,28,Unknown,Unknown,,
0SH30BZ        ,28,Unknown,Unknown,,
0UN94ZZ        ,28,Unknown,Unknown,,
0BBC4ZZ        ,28,Unknown,Unknown,,
79.23          ,28,Unknown,Unknown,,
66.01          ,28,Unknown,Unknown,,
33.49          ,28,Unknown,Unknown,,
56.35          ,28,1520,ENDOSCOPIA (CITOSCOPIA) (LOOPOSCOPIA) DEL CONDUCTO ILEAL,,
84.16          ,28,Unknown,Unknown,,
0UBC0ZZ        ,28,Unknown,Unknown,,
0BBC0ZZ        ,28,Unknown,Unknown,,
0HQXXZZ        ,28,Unknown,Unknown,,
0JH70DZ        ,28,Unknown,Unknown,,
0B978ZX        ,28,Unknown,Unknown,,
0LQ60ZZ        ,28,Unknown,Unknown,,
0PBJ0ZZ        ,28,Unknown,Unknown,,
0SPB08Z        ,28,Unknown,Unknown,,
0W9G0ZX        ,28,Unknown,Unknown,,
33.98          ,28,Unknown,Unknown,,
46.02          ,28,1484,RESECCION DE SEGMENTO EXTERIORIZADO DE INTESTINO DELGADO,,
0UJH8ZZ        ,28,Unknown,Unknown,,
59.92          ,28,Unknown,Unknown,,
0LU14JZ        ,28,Unknown,Unknown,,
0Y6C0Z1        ,28,Unknown,Unknown,,
0TBD0ZZ        ,28,Unknown,Unknown,,
F08Z6ZZ        ,28,Unknown,Unknown,,
78.38          ,28,1864,PROCED.ALAR. DE TARSIANOS Y METATARSIANOS,,
0RNW0ZZ        ,28,Unknown,Unknown,,
18.9           ,28,1124,OTRAS OPERACIONES SOBRE EL OIDO EXTERNO,,
0TB78ZX        ,28,Unknown,Unknown,,
02713ZZ        ,28,Unknown,Unknown,,
52.14          ,28,Unknown,Unknown,,
69.98          ,28,345,OTRAS OPERACIONES SOBRE ESTRUCTURAS DE SOPORTE DE UTERO,,
97.29          ,28,Unknown,Unknown,,
CP1ZYZZ        ,28,Unknown,Unknown,,
0T9D70Z        ,28,Unknown,Unknown,,
0HBCXZX        ,28,Unknown,Unknown,,
0HRNX74        ,27,Unknown,Unknown,,
0VNS0ZZ        ,27,Unknown,Unknown,,
0DTQ0ZZ        ,27,Unknown,Unknown,,
0YBC0ZZ        ,27,Unknown,Unknown,,
0UN20ZZ        ,27,Unknown,Unknown,,
12.93          ,27,Unknown,Unknown,,
08.92          ,27,Unknown,Unknown,,
0RQK0ZZ        ,27,Unknown,Unknown,,
BR271ZZ        ,27,Unknown,Unknown,,
09.53          ,27,Unknown,Unknown,,
0SRB029        ,27,Unknown,Unknown,,
0NH035Z        ,27,Unknown,Unknown,,
80.10          ,27,Unknown,Unknown,,
03BS3ZX        ,27,Unknown,Unknown,,
0DBQ8ZX        ,27,Unknown,Unknown,,
0CTH0ZZ        ,27,Unknown,Unknown,,
0JH60PZ        ,27,Unknown,Unknown,,
0UQC7ZZ        ,27,Unknown,Unknown,,
2W34X3Z        ,27,Unknown,Unknown,,
2W13X7Z        ,27,Unknown,Unknown,,
00PV0MZ        ,27,Unknown,Unknown,,
B206YZZ        ,27,Unknown,Unknown,,
0PSN04Z        ,27,Unknown,Unknown,,
0J980ZZ        ,27,Unknown,Unknown,,
0U504ZZ        ,27,Unknown,Unknown,,
047R3ZZ        ,27,Unknown,Unknown,,
04.75          ,27,Unknown,Unknown,,
00NK0ZZ        ,27,Unknown,Unknown,,
0DV48ZZ        ,27,Unknown,Unknown,,
09B10ZZ        ,27,Unknown,Unknown,,
0SRB049        ,27,Unknown,Unknown,,
0PB43ZX        ,27,Unknown,Unknown,,
0UQ90ZZ        ,27,Unknown,Unknown,,
0HRKX73        ,27,Unknown,Unknown,,
20.72          ,27,Unknown,Unknown,,
02.95          ,27,Unknown,Unknown,,
08Q6XZZ        ,27,Unknown,Unknown,,
0HDNXZZ        ,27,Unknown,Unknown,,
01S40ZZ        ,27,Unknown,Unknown,,
2W31X9Z        ,27,Unknown,Unknown,,
0SRU0J9        ,27,Unknown,Unknown,,
67.31          ,27,1546,MARSUPIALIZACION DE QUISTE CERVICAL,,
30233AZ        ,27,Unknown,Unknown,,
65.72          ,27,Unknown,Unknown,,
81.20          ,27,542,ARTRODESIS DE ARTICULACION NO ESPECIFICADA,,
97.81          ,27,Unknown,Unknown,,
0HQKXZZ        ,27,Unknown,Unknown,,
0JU80JZ        ,27,Unknown,Unknown,,
0DB88ZX        ,27,Unknown,Unknown,,
10.41          ,27,Unknown,Unknown,,
38.29          ,27,Unknown,Unknown,,
0GBR0ZZ        ,27,Unknown,Unknown,,
72.31          ,27,Unknown,Unknown,,
04L33DZ        ,27,Unknown,Unknown,,
0CBM8ZX        ,27,Unknown,Unknown,,
17.12          ,27,499,REPARACION LAPAROSCOPICA DE HERNIA INGUINAL INDIRECTA CON INJERTO O PROTESIS,,
0WQ80ZZ        ,27,Unknown,Unknown,,
0SH00CZ        ,27,Unknown,Unknown,,
0FF98ZZ        ,27,Unknown,Unknown,,
BR2CYZZ        ,27,Unknown,Unknown,,
0DB70ZZ        ,27,Unknown,Unknown,,
0HD5XZZ        ,27,Unknown,Unknown,,
70.29          ,27,992,OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE VAGINA Y FONDO DE SA,,
BD24ZZZ        ,27,Unknown,Unknown,,
0BTJ0ZZ        ,27,Unknown,Unknown,,
B54TZZZ        ,27,Unknown,Unknown,,
29.59          ,27,Unknown,Unknown,,
02HA3QZ        ,27,Unknown,Unknown,,
09B90ZZ        ,27,Unknown,Unknown,,
81.21          ,27,562,ARTRODESIS DE CADERA,,
07BJ3ZX        ,27,Unknown,Unknown,,
96.43          ,27,Unknown,Unknown,,
0QH604Z        ,27,Unknown,Unknown,,
0TBD8ZX        ,27,Unknown,Unknown,,
BT20ZZZ        ,27,Unknown,Unknown,,
75.37          ,27,Unknown,Unknown,,
30.01          ,26,978,MARSUPIALIZACION DE QUISTE LARINGEO,,
08Q33ZZ        ,26,Unknown,Unknown,,
0T2DX0Z        ,26,Unknown,Unknown,,
00C00ZZ        ,26,Unknown,Unknown,,
0LQQ0ZZ        ,26,Unknown,Unknown,,
0U570ZZ        ,26,Unknown,Unknown,,
0DT70ZZ        ,26,Unknown,Unknown,,
0RRK0JZ        ,26,Unknown,Unknown,,
0RGX04Z        ,26,Unknown,Unknown,,
0F190ZB        ,26,Unknown,Unknown,,
B318ZZZ        ,26,Unknown,Unknown,,
0VJ40ZZ        ,26,Unknown,Unknown,,
0QS644Z        ,26,Unknown,Unknown,,
0T29XYZ        ,26,Unknown,Unknown,,
0PBV0ZZ        ,26,Unknown,Unknown,,
0T9630Z        ,26,Unknown,Unknown,,
02C04ZZ        ,26,Unknown,Unknown,,
0QS936Z        ,26,Unknown,Unknown,,
97.01          ,26,Unknown,Unknown,,
0B9P3ZX        ,26,Unknown,Unknown,,
0SGN0ZZ        ,26,Unknown,Unknown,,
BP2HZZZ        ,26,Unknown,Unknown,,
21.72          ,26,1402,REDUCCION ABIERTA DE FRACTURA NASAL,,
DU119YZ        ,26,Unknown,Unknown,,
07BB3ZX        ,26,Unknown,Unknown,,
0UUG8JZ        ,26,Unknown,Unknown,,
0UCB8ZZ        ,26,Unknown,Unknown,,
3E0W3KZ        ,26,Unknown,Unknown,,
2W3BXYZ        ,26,Unknown,Unknown,,
0SG00A0        ,26,Unknown,Unknown,,
98.13          ,26,1776,EXTRAC.SIN INCISION DE C. EXTRAÑO INTRALUMINAL DE LA FARINGE,,
B41B1ZZ        ,26,Unknown,Unknown,,
00HV0MZ        ,26,Unknown,Unknown,,
BQ37ZZZ        ,26,Unknown,Unknown,,
0MB70ZZ        ,26,Unknown,Unknown,,
099830Z        ,26,Unknown,Unknown,,
0MT14ZZ        ,26,Unknown,Unknown,,
0JPT3XZ        ,26,Unknown,Unknown,,
BW28YZZ        ,26,Unknown,Unknown,,
77.43          ,26,Unknown,Unknown,,
0BBK4ZZ        ,26,Unknown,Unknown,,
0SGK04Z        ,26,Unknown,Unknown,,
085PXZZ        ,26,Unknown,Unknown,,
02110Z3        ,26,Unknown,Unknown,,
2W3AX1Z        ,26,Unknown,Unknown,,
0SG00Z1        ,26,Unknown,Unknown,,
0QBP0ZX        ,26,Unknown,Unknown,,
0SG34A1        ,26,Unknown,Unknown,,
07BH3ZX        ,26,Unknown,Unknown,,
0V950ZZ        ,26,Unknown,Unknown,,
80.40          ,26,Unknown,Unknown,,
3E0F76Z        ,26,Unknown,Unknown,,
0T568ZZ        ,26,Unknown,Unknown,,
53.12          ,26,876,OTRA REPARACION Y REPARACION ABIERTA BILATERAL DE HERNIA INGUINAL INDIRECTA,,
0D7Q7ZZ        ,26,Unknown,Unknown,,
11.22          ,26,Unknown,Unknown,,
099R4ZZ        ,26,Unknown,Unknown,,
BP0KZZZ        ,26,Unknown,Unknown,,
0QB03ZZ        ,26,Unknown,Unknown,,
0QQQ3ZZ        ,26,Unknown,Unknown,,
0M5P4ZZ        ,26,Unknown,Unknown,,
0RRJ0J6        ,26,Unknown,Unknown,,
037G3ZZ        ,26,Unknown,Unknown,,
0HBFXZX        ,26,Unknown,Unknown,,
BT141ZZ        ,26,Unknown,Unknown,,
02584ZZ        ,26,Unknown,Unknown,,
80.53          ,26,Unknown,Unknown,,
0271346        ,26,Unknown,Unknown,,
63.52          ,26,Unknown,Unknown,,
56.39          ,26,Unknown,Unknown,,
025L3ZZ        ,26,Unknown,Unknown,,
01.16          ,26,Unknown,Unknown,,
08Q23ZZ        ,26,Unknown,Unknown,,
61.91          ,26,Unknown,Unknown,,
3E030NZ        ,26,Unknown,Unknown,,
0DNN4ZZ        ,26,Unknown,Unknown,,
0BBN3ZX        ,26,Unknown,Unknown,,
0F9970Z        ,26,Unknown,Unknown,,
38.61          ,26,Unknown,Unknown,,
76.96          ,26,Unknown,Unknown,,
57.51          ,26,Unknown,Unknown,,
09.11          ,26,Unknown,Unknown,,
0VBSXZZ        ,26,Unknown,Unknown,,
0TC43ZZ        ,26,Unknown,Unknown,,
31.71          ,26,Unknown,Unknown,,
B341ZZ3        ,26,Unknown,Unknown,,
0MN80ZZ        ,26,Unknown,Unknown,,
BW3GYZZ        ,26,Unknown,Unknown,,
B40G1ZZ        ,26,Unknown,Unknown,,
0PHC44Z        ,26,Unknown,Unknown,,
0DP67DZ        ,26,Unknown,Unknown,,
0C9P3ZZ        ,26,Unknown,Unknown,,
98.52          ,26,1871,LITOTRICIA ONDA CHOQUE EXTRACORPORALES DE VESICULA C.BILIAR,,
0JDL3ZZ        ,26,Unknown,Unknown,,
0F8G4ZZ        ,26,Unknown,Unknown,,
0HJU3ZZ        ,26,Unknown,Unknown,,
047M3ZZ        ,26,Unknown,Unknown,,
0QHG04Z        ,26,Unknown,Unknown,,
0QSH06Z        ,26,Unknown,Unknown,,
00K00ZZ        ,25,Unknown,Unknown,,
09Q74ZZ        ,25,Unknown,Unknown,,
81.39          ,25,Unknown,Unknown,,
F013GZZ        ,25,Unknown,Unknown,,
0RSL04Z        ,25,Unknown,Unknown,,
0PPB04Z        ,25,Unknown,Unknown,,
12.42          ,25,Unknown,Unknown,,
07BC0ZX        ,25,Unknown,Unknown,,
56.81          ,25,Unknown,Unknown,,
09Q70ZZ        ,25,Unknown,Unknown,,
11.41          ,25,758,EXTIRPACION MECANICA DEL EPITELIO CORNEAL,,
09BC0ZZ        ,25,Unknown,Unknown,,
4A13XB1        ,25,Unknown,Unknown,,
02Q03ZZ        ,25,Unknown,Unknown,,
27.52          ,25,Unknown,Unknown,,
0LQ34ZZ        ,25,Unknown,Unknown,,
09BL8ZX        ,25,Unknown,Unknown,,
BQ48ZZZ        ,25,Unknown,Unknown,,
0DP6X0Z        ,25,Unknown,Unknown,,
041K09L        ,25,Unknown,Unknown,,
88.63          ,25,Unknown,Unknown,,
32.25          ,25,69,ABLACION TORACOSCOPICA DE LESION O TEJIDO DE PULMON,,
01Q50ZZ        ,25,Unknown,Unknown,,
38.16          ,25,Unknown,Unknown,,
07.29          ,25,1197,OTRA SUPRARRENALECTOMIA PARCIAL,,
92.20          ,25,1655,INFUSION DE RADIOISOTOPO LIQUIDO PARA BRAQUITERAPIA,,
0B5N4ZZ        ,25,Unknown,Unknown,,
0W9D40Z        ,25,Unknown,Unknown,,
0PSG06Z        ,25,Unknown,Unknown,,
06DS3ZZ        ,25,Unknown,Unknown,,
B2031ZZ        ,25,Unknown,Unknown,,
77.26          ,25,1567,OSTEOTOMIA EN CUÑA DE ROTULA,,
0DBL4ZZ        ,25,Unknown,Unknown,,
2W3MXYZ        ,25,Unknown,Unknown,,
03VG0ZZ        ,25,Unknown,Unknown,,
0BBJ4ZX        ,25,Unknown,Unknown,,
07BB4ZX        ,25,Unknown,Unknown,,
0NQ00ZZ        ,25,Unknown,Unknown,,
0SSQ04Z        ,25,Unknown,Unknown,,
0TPD8LZ        ,25,Unknown,Unknown,,
4A19X1Z        ,25,Unknown,Unknown,,
0U9MXZZ        ,25,Unknown,Unknown,,
09.3           ,25,Unknown,Unknown,,
0WBC0ZZ        ,25,Unknown,Unknown,,
0DTH4ZZ        ,25,Unknown,Unknown,,
0T7D7DZ        ,25,Unknown,Unknown,,
0RQU0ZZ        ,25,Unknown,Unknown,,
09RK07Z        ,25,Unknown,Unknown,,
0CX40ZZ        ,25,Unknown,Unknown,,
35.98          ,25,Unknown,Unknown,,
09BB0ZZ        ,25,Unknown,Unknown,,
3E1J88Z        ,25,Unknown,Unknown,,
03LG3DZ        ,25,Unknown,Unknown,,
B34HZZZ        ,25,Unknown,Unknown,,
12.29          ,25,1370,"OTROS PROC.DIAGN.S/IRIS,C.CILIAL,ESCLEROTICA Y CAMARA ANTERI",,
0SGQ05Z        ,25,Unknown,Unknown,,
0QHH04Z        ,25,Unknown,Unknown,,
0DQQXZZ        ,25,Unknown,Unknown,,
0FC44ZZ        ,25,Unknown,Unknown,,
02HK3MZ        ,25,Unknown,Unknown,,
08R8X7Z        ,25,Unknown,Unknown,,
3E0636Z        ,25,Unknown,Unknown,,
0Y6J0Z1        ,25,Unknown,Unknown,,
02WA0MZ        ,25,Unknown,Unknown,,
29.99          ,25,Unknown,Unknown,,
0UJD4ZZ        ,25,Unknown,Unknown,,
42.09          ,25,Unknown,Unknown,,
0SBP0ZZ        ,25,Unknown,Unknown,,
0SN40ZZ        ,25,Unknown,Unknown,,
0QBN0ZX        ,25,Unknown,Unknown,,
01.15          ,25,Unknown,Unknown,,
44.12          ,25,Unknown,Unknown,,
BW0LZZZ        ,25,Unknown,Unknown,,
0KQ64ZZ        ,25,Unknown,Unknown,,
66.91          ,25,Unknown,Unknown,,
27.1           ,25,1257,INCISION DEL PALADAR,,
0DBM4ZZ        ,25,Unknown,Unknown,,
BN23ZZZ        ,25,Unknown,Unknown,,
42.84          ,25,Unknown,Unknown,,
41.08          ,25,Unknown,Unknown,,
0KQ50ZZ        ,25,Unknown,Unknown,,
0DJD0ZZ        ,25,Unknown,Unknown,,
0TF34ZZ        ,25,Unknown,Unknown,,
090K0ZZ        ,24,Unknown,Unknown,,
0SND4ZZ        ,24,Unknown,Unknown,,
0UN04ZZ        ,24,Unknown,Unknown,,
0W360ZZ        ,24,Unknown,Unknown,,
09.82          ,24,Unknown,Unknown,,
B44LZZZ        ,24,Unknown,Unknown,,
BQ01ZZ1        ,24,Unknown,Unknown,,
94.59          ,24,Unknown,Unknown,,
0WQF3ZZ        ,24,Unknown,Unknown,,
0UB70ZX        ,24,Unknown,Unknown,,
BR0GZZZ        ,24,Unknown,Unknown,,
0U514ZZ        ,24,Unknown,Unknown,,
0H9T00Z        ,24,Unknown,Unknown,,
BQ3MZZZ        ,24,Unknown,Unknown,,
0RNJXZZ        ,24,Unknown,Unknown,,
0CB2XZZ        ,24,Unknown,Unknown,,
0WBN0ZZ        ,24,Unknown,Unknown,,
0UU44JZ        ,24,Unknown,Unknown,,
0SG0371        ,24,Unknown,Unknown,,
3E0J305        ,24,Unknown,Unknown,,
08B10ZX        ,24,Unknown,Unknown,,
0TF44ZZ        ,24,Unknown,Unknown,,
0W983ZX        ,24,Unknown,Unknown,,
0SJC0ZZ        ,24,Unknown,Unknown,,
0BBL0ZZ        ,24,Unknown,Unknown,,
0D5Q8ZZ        ,24,Unknown,Unknown,,
0F944ZZ        ,24,Unknown,Unknown,,
0MBN0ZZ        ,24,Unknown,Unknown,,
0BBM3ZX        ,24,Unknown,Unknown,,
79.52          ,24,Unknown,Unknown,,
0DBP7ZX        ,24,Unknown,Unknown,,
BP2GZZZ        ,24,Unknown,Unknown,,
24.91          ,24,Unknown,Unknown,,
09SL8ZZ        ,24,Unknown,Unknown,,
04UK0KZ        ,24,Unknown,Unknown,,
0T143JD        ,24,Unknown,Unknown,,
0JBK0ZX        ,24,Unknown,Unknown,,
0SSP04Z        ,24,Unknown,Unknown,,
B513ZZA        ,24,Unknown,Unknown,,
0BTJ4ZZ        ,24,Unknown,Unknown,,
0MQ70ZZ        ,24,Unknown,Unknown,,
10.0           ,24,1362,EXTRACCION DE CONJUNTIVA DE CUERPO EXTRAÑO INCRUSTADO C/INCI,,
0T9040Z        ,24,Unknown,Unknown,,
0CB5XZZ        ,24,Unknown,Unknown,,
09QL8ZZ        ,24,Unknown,Unknown,,
0KBH0ZZ        ,24,Unknown,Unknown,,
39.8           ,24,378,"OPERACIONES SOBRE EL CUERPO CAROTIDEO, SENO CAROTIDEO Y OTROS CUERPOS VASCULARES",,
28.99          ,24,1425,OTRA OPERACION SOBRE AMIGDALA Y ADENOIDE NCOC,,
0SRS01Z        ,24,Unknown,Unknown,,
00.84          ,24,Unknown,Unknown,,
0MBT0ZZ        ,24,Unknown,Unknown,,
0TF74ZZ        ,24,Unknown,Unknown,,
08QC3ZZ        ,24,Unknown,Unknown,,
005K3ZZ        ,24,Unknown,Unknown,,
09B50ZZ        ,24,Unknown,Unknown,,
B3100ZZ        ,24,Unknown,Unknown,,
58.44          ,24,Unknown,Unknown,,
3E013BZ        ,24,Unknown,Unknown,,
047L3Z1        ,24,Unknown,Unknown,,
B31NZZZ        ,24,Unknown,Unknown,,
B2261ZZ        ,24,Unknown,Unknown,,
F07C6ZZ        ,24,Unknown,Unknown,,
09TL7ZZ        ,24,Unknown,Unknown,,
0GBH0ZX        ,24,Unknown,Unknown,,
0SW90JZ        ,24,Unknown,Unknown,,
08QG3ZZ        ,24,Unknown,Unknown,,
F01ZCZZ        ,24,Unknown,Unknown,,
0HQLXZZ        ,24,Unknown,Unknown,,
0JCK0ZZ        ,24,Unknown,Unknown,,
89.25          ,24,Unknown,Unknown,,
F08M5FZ        ,24,Unknown,Unknown,,
08U9XKZ        ,24,Unknown,Unknown,,
0QU407Z        ,24,Unknown,Unknown,,
0SPD04Z        ,24,Unknown,Unknown,,
0BTD0ZZ        ,24,Unknown,Unknown,,
83.84          ,24,498,LIBERACION DE PIE TALO NO CLASIFICADA BAJO OTRO CONCEPTO,,
0UQG4ZZ        ,24,Unknown,Unknown,,
06LR0ZZ        ,24,Unknown,Unknown,,
BW28Y0Z        ,24,Unknown,Unknown,,
F0736FZ        ,24,Unknown,Unknown,,
0UB44ZZ        ,24,Unknown,Unknown,,
32.6           ,24,Unknown,Unknown,,
0PSJ44Z        ,24,Unknown,Unknown,,
76.73          ,24,Unknown,Unknown,,
97.16          ,24,1852,SUSTITUCION DE TAPON O DRENAJE DE HERIDA,,
0RSM04Z        ,24,Unknown,Unknown,,
3E05329        ,24,Unknown,Unknown,,
82.95          ,24,Unknown,Unknown,,
0DCR0ZZ        ,24,Unknown,Unknown,,
0D7E8DZ        ,24,Unknown,Unknown,,
0UB60ZZ        ,24,Unknown,Unknown,,
8E0W4CZ        ,24,Unknown,Unknown,,
22.01          ,23,Unknown,Unknown,,
0BBF0ZZ        ,23,Unknown,Unknown,,
0MQ80ZZ        ,23,Unknown,Unknown,,
0Y6J0Z2        ,23,Unknown,Unknown,,
0JBL0ZX        ,23,Unknown,Unknown,,
16.63          ,23,Unknown,Unknown,,
0W380ZZ        ,23,Unknown,Unknown,,
80.43          ,23,343,DIV. CAPS. LIG O CART. DE ARTICULACION DE MUÑECA,,
06BR0ZZ        ,23,Unknown,Unknown,,
0CQ3XZZ        ,23,Unknown,Unknown,,
08Q7XZZ        ,23,Unknown,Unknown,,
03BS0ZX        ,23,Unknown,Unknown,,
B3251ZZ        ,23,Unknown,Unknown,,
01NH0ZZ        ,23,Unknown,Unknown,,
0WCG0ZZ        ,23,Unknown,Unknown,,
06H03DZ        ,23,Unknown,Unknown,,
81.73          ,23,Unknown,Unknown,,
0QPC04Z        ,23,Unknown,Unknown,,
0D758DZ        ,23,Unknown,Unknown,,
48.61          ,23,Unknown,Unknown,,
4A0H7HZ        ,23,Unknown,Unknown,,
0BB83ZX        ,23,Unknown,Unknown,,
0UL70CZ        ,23,Unknown,Unknown,,
01513ZZ        ,23,Unknown,Unknown,,
0JBD0ZX        ,23,Unknown,Unknown,,
87.39          ,23,Unknown,Unknown,,
0DH673Z        ,23,Unknown,Unknown,,
06DR3ZZ        ,23,Unknown,Unknown,,
87.65          ,23,Unknown,Unknown,,
0QB03ZX        ,23,Unknown,Unknown,,
BW38YZZ        ,23,Unknown,Unknown,,
0F794DZ        ,23,Unknown,Unknown,,
0211093        ,23,Unknown,Unknown,,
0WPG0YZ        ,23,Unknown,Unknown,,
0PS43ZZ        ,23,Unknown,Unknown,,
58.45          ,23,Unknown,Unknown,,
0TUD07Z        ,23,Unknown,Unknown,,
98.14          ,23,Unknown,Unknown,,
0DTC0ZZ        ,23,Unknown,Unknown,,
0B968ZX        ,23,Unknown,Unknown,,
0CB6XZZ        ,23,Unknown,Unknown,,
80.94          ,23,Unknown,Unknown,,
0T913ZX        ,23,Unknown,Unknown,,
4A0H7FZ        ,23,Unknown,Unknown,,
0T9870Z        ,23,Unknown,Unknown,,
2W3EX1Z        ,23,Unknown,Unknown,,
42.64          ,23,Unknown,Unknown,,
BR0FZZZ        ,23,Unknown,Unknown,,
047K3Z1        ,23,Unknown,Unknown,,
0C57XZZ        ,23,Unknown,Unknown,,
0UT40ZZ        ,23,Unknown,Unknown,,
0FJB4ZZ        ,23,Unknown,Unknown,,
0MB40ZZ        ,23,Unknown,Unknown,,
079K3ZZ        ,23,Unknown,Unknown,,
B32RZ2Z        ,23,Unknown,Unknown,,
0SSN04Z        ,23,Unknown,Unknown,,
0RRL0JZ        ,23,Unknown,Unknown,,
02PA0RZ        ,23,Unknown,Unknown,,
69.93          ,23,Unknown,Unknown,,
0JH60MZ        ,23,Unknown,Unknown,,
92.25          ,23,Unknown,Unknown,,
95.12          ,23,899,ANGIOGRAFIA O ANGIOSCOPIA POR FLUORESCENCIA DEL OJO,,
BL43ZZZ        ,23,Unknown,Unknown,,
84.41          ,23,86,COLOCACION DE PROTESIS DE BRAZO SUPERIOR Y HOMBRO,,
0DB50ZZ        ,23,Unknown,Unknown,,
0JDM3ZZ        ,23,Unknown,Unknown,,
018R3ZZ        ,23,Unknown,Unknown,,
0SHB08Z        ,23,Unknown,Unknown,,
0SQM0ZZ        ,23,Unknown,Unknown,,
00NX0ZZ        ,23,Unknown,Unknown,,
0PSF36Z        ,23,Unknown,Unknown,,
0QH704Z        ,23,Unknown,Unknown,,
0TC13ZZ        ,23,Unknown,Unknown,,
BN26ZZZ        ,23,Unknown,Unknown,,
09TC0ZZ        ,23,Unknown,Unknown,,
0BBB3ZX        ,23,Unknown,Unknown,,
3E1M38X        ,23,Unknown,Unknown,,
0D5P8ZZ        ,23,Unknown,Unknown,,
0SRS01A        ,23,Unknown,Unknown,,
02YA0Z0        ,23,Unknown,Unknown,,
F08G5CZ        ,23,Unknown,Unknown,,
0B9130Z        ,23,Unknown,Unknown,,
0SP304Z        ,23,Unknown,Unknown,,
087X7DZ        ,23,Unknown,Unknown,,
0PBP0ZZ        ,23,Unknown,Unknown,,
0D1M4Z4        ,23,Unknown,Unknown,,
0DTM4ZZ        ,23,Unknown,Unknown,,
42.85          ,23,914,REPARACION DE ESTENOSIS ESOFAGICA,,
0RG10J0        ,23,Unknown,Unknown,,
0BBL4ZX        ,23,Unknown,Unknown,,
08.73          ,23,Unknown,Unknown,,
0LNW0ZZ        ,23,Unknown,Unknown,,
56.32          ,23,Unknown,Unknown,,
0JB40ZX        ,23,Unknown,Unknown,,
4A09XMZ        ,23,Unknown,Unknown,,
35.72          ,23,Unknown,Unknown,,
08R9X7Z        ,23,Unknown,Unknown,,
97.87          ,23,Unknown,Unknown,,
42.39          ,23,Unknown,Unknown,,
09T90ZZ        ,23,Unknown,Unknown,,
88.36          ,22,Unknown,Unknown,,
BP0JZZZ        ,22,Unknown,Unknown,,
6A4Z0ZZ        ,22,Unknown,Unknown,,
0B21XEZ        ,22,Unknown,Unknown,,
38.01          ,22,Unknown,Unknown,,
00.16          ,22,Unknown,Unknown,,
3E1C38Z        ,22,Unknown,Unknown,,
0DT50ZZ        ,22,Unknown,Unknown,,
06LY0ZZ        ,22,Unknown,Unknown,,
00C40ZZ        ,22,Unknown,Unknown,,
BT1F1ZZ        ,22,Unknown,Unknown,,
86.25          ,22,375,ABRASION DERMICA,,
0UB50ZZ        ,22,Unknown,Unknown,,
BD13YZZ        ,22,Unknown,Unknown,,
29.32          ,22,Unknown,Unknown,,
38.37          ,22,Unknown,Unknown,,
73.21          ,22,Unknown,Unknown,,
0T9140Z        ,22,Unknown,Unknown,,
BR2DZZZ        ,22,Unknown,Unknown,,
08T0XZZ        ,22,Unknown,Unknown,,
0Y6M0ZB        ,22,Unknown,Unknown,,
17.31          ,22,792,RESECCION SEGMENTARIA MULTIPLE LAPAROSCOPICA DE INTESTINO GRUESO,,
0W3R8ZZ        ,22,Unknown,Unknown,,
77.13          ,22,Unknown,Unknown,,
04L23DZ        ,22,Unknown,Unknown,,
